file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,removerQuantidade/1[int],false,59,0,1,1,0,3,0,10,3,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,7,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,equals/1[java.lang.Object],false,81,1,0,0,0,3,1,6,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,7,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,toString/0,false,71,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,7,0,0,2,0,0,0,0,5,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,setNome/1[java.lang.String],false,41,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,setPreco/1[double],false,45,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,8,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,getCodigo/0,false,25,0,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,getPreco/0,false,33,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,adicionarQuantidade/1[int],false,52,0,0,0,0,2,0,6,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,11,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Produto.java,com.sisvendas.model.Produto,getNome/0,false,29,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getDestinatario/0,false,39,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getNumero/0,false,47,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"validar/2[java.lang.String,java.lang.String]",false,30,0,1,1,0,2,3,8,1,1,2,3,0,0,0,0,0,0,2,0,1,2,1,0,0,0,8,10,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getCidade/0,false,55,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getUf/0,false,59,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getBairro/0,false,51,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getLogradouro/0,false,43,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,"EnderecoEntrega/7[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",true,20,1,2,1,1,1,1,9,0,0,7,1,1,1,0,0,0,0,7,0,7,0,0,0,0,0,4,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/EnderecoEntrega.java,com.sisvendas.model.EnderecoEntrega,getCep/0,false,63,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/exception/EstoqueInsuficienteException.java,com.sisvendas.exception.EstoqueInsuficienteException,"EstoqueInsuficienteException/3[java.lang.String,int,int]",true,4,0,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,9,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryVendaRepository.java,com.sisvendas.repository.memory.InMemoryVendaRepository,listarTodas/0,false,19,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryVendaRepository.java,com.sisvendas.repository.memory.InMemoryVendaRepository,salvar/1[com.sisvendas.model.Venda],false,14,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,buscarPorCodigo/1[java.lang.String],false,13,1,0,0,0,2,3,4,2,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,salvar/1[com.sisvendas.model.Produto],false,19,1,2,1,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,listarTodos/0,false,29,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/memory/InMemoryProdutoRepository.java,com.sisvendas.repository.memory.InMemoryProdutoRepository,atualizar/1[com.sisvendas.model.Produto],false,24,1,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/demo/DemoVendas.java,com.sisvendas.demo.DemoVendas,main/1[java.lang.String[]],false,16,8,14,0,14,1,12,18,0,7,1,12,0,0,0,0,0,0,17,10,7,0,0,0,0,0,22,9,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/ItemVenda.java,com.sisvendas.model.ItemVenda,"ItemVenda/2[com.sisvendas.model.Produto,int]",true,10,1,2,1,1,2,2,8,0,0,2,2,0,0,0,0,0,0,2,1,3,1,1,0,0,0,9,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/ItemVenda.java,com.sisvendas.model.ItemVenda,getQuantidade/0,false,23,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/ItemVenda.java,com.sisvendas.model.ItemVenda,getProduto/0,false,19,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/ItemVenda.java,com.sisvendas.model.ItemVenda,getSubtotal/0,false,27,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/service/VendaService.java,com.sisvendas.service.VendaService,listarResumoVendas/0,false,107,6,8,1,7,3,23,16,1,10,0,23,0,0,2,0,0,0,0,0,7,2,2,0,0,2,17,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/service/VendaService.java,com.sisvendas.service.VendaService,"registrarVenda/3[com.sisvendas.model.TipoVenda,java.util.List<com.sisvendas.service.Par<java.lang.String,java.lang.Integer>>,java.util.Optional<com.sisvendas.model.EnderecoEntrega>]",false,36,12,20,1,19,20,33,52,1,10,3,33,0,0,4,8,0,1,6,1,10,0,3,0,0,1,43,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/service/VendaService.java,com.sisvendas.service.VendaService,listarEstoque/0,false,138,2,2,1,1,1,6,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/service/VendaService.java,com.sisvendas.service.VendaService,"VendaService/2[com.sisvendas.repository.ProdutoRepository,com.sisvendas.repository.VendaRepository]",true,29,2,1,1,0,1,2,4,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/service/VendaService.java,com.sisvendas.service.VendaService,listarVendas/0,false,101,2,2,1,1,1,7,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/exception/ProdutoNaoEncontradoException.java,com.sisvendas.exception.ProdutoNaoEncontradoException,ProdutoNaoEncontradoException/1[java.lang.String],true,4,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/VendaRepository.java,com.sisvendas.repository.VendaRepository,salvar/1[com.sisvendas.model.Venda],false,7,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/repository/VendaRepository.java,com.sisvendas.repository.VendaRepository,listarTodas/0,false,8,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/exception/ValidacaoVendaException.java,com.sisvendas.exception.ValidacaoVendaException,ValidacaoVendaException/1[java.lang.String],true,4,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/view/ConsoleVendasPresenter.java,com.sisvendas.view.ConsoleVendasPresenter,imprimirListaVendas/1[java.util.List<com.sisvendas.model.Venda>],false,33,2,2,1,1,4,3,10,1,0,1,3,1,1,1,1,0,0,2,0,0,0,1,0,0,0,8,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/view/ConsoleVendasPresenter.java,com.sisvendas.view.ConsoleVendasPresenter,imprimirVenda/1[com.sisvendas.model.Venda],false,11,4,19,1,18,2,27,12,0,2,1,27,0,0,1,0,0,0,18,0,1,0,1,0,0,1,14,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/view/ConsoleVendasPresenter.java,com.sisvendas.view.ConsoleVendasPresenter,imprimirRelatorioEstoque/1[java.util.List<com.sisvendas.model.Produto>],false,64,1,4,1,3,4,6,13,1,0,1,6,0,0,1,1,0,0,6,0,0,0,1,0,0,0,9,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/view/ConsoleVendasPresenter.java,com.sisvendas.view.ConsoleVendasPresenter,imprimirResumoVendas/1[com.sisvendas.service.dto.ResumoVendas],false,44,1,1,1,0,5,12,16,1,0,1,12,0,0,1,2,0,0,10,0,0,2,1,0,0,0,20,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,getId/0,false,36,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,getDataHora/0,false,40,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,getItens/0,false,48,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,equals/1[java.lang.Object],false,102,1,0,0,0,3,1,6,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,7,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,Venda/1[com.sisvendas.model.Venda.Builder],true,19,2,1,1,0,6,13,16,0,0,1,13,0,0,0,4,0,0,3,0,7,0,1,0,0,0,11,2,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,getEnderecoEntrega/0,false,56,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,getTotal/0,false,52,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,getTipo/0,false,44,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,builder/0,false,60,1,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
/Users/hugojose/Documents/sisVendas-BP/src/main/java/com/sisvendas/model/Venda.java,com.sisvendas.model.Venda,hashCode/0,false,110,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
